DATOS SECTORIALES EN EL SISTEMA SISSH,,,,,
,,,,,
CONFLICTO,,,,,
_ndice de Pobreza Multidimensional,Todos,Departamento de Planeaci_n Nacional,2005,Departamental,"Es un indicador que refleja el grado de privaci_n de las personas en un conjunto de dimensiones.La propuesta de IPM desarrollada por el Departamento Nacional de Planeaci_n para Colombia est_ conformada 5 dimensiones y 15 variables Condiciones educativas del hogar: - Logro educativo - Analfabetismo Condiciones de la ni_ez y juventud: - Asistencia escolar - Rezago escolar - Acceso a servicios para el cuidado de la primera infancia - Trabajo infantil Trabajo - Desempleo de larga duraci_n - Empleo formal Salud: - Aseguramiento en salud - Acceso a servicio de salud dada una necesidad Servicios p_blicos domiciliarios y condiciones de la vivienda: - Acceso a fuente de agua mejorada - Eliminaci_n de excretas - Pisos - Paredes exteriores - Hacinamiento cr_tico De acuerdo con esta medida, se considera que una persona est_ condici_n de pobreza si cuenta con privaciones en al menos 5 de las variables seleccionadas (33% del total de privaciones)."
Indice de Potenciaci_n de G_nero,Todos,Informe Nacional de Desarrollo Humano,2002-2008,Departamental,"Centr_ndose en las oportunidades de las mujeres en lugar de en sus capacidades, el IPG refleja la desigualdad de g_nero en tres _reas clave: ? Participaci_n pol_tica y poder para tomar decisiones, medido por el porcentaje de hombres y mujeres que ocupan esca_os parlamentarios. ? Participaci_n econ_mica y poder para tomar decisiones, medido por dos indicadores: el porcentaje de puestos como legisladores, altos funcionarios y directivos ocupados por hombres y mujeres y el porcentaje de puestos t_cnicos y profesionales ocupados por hombres y mujeres. ? Poder sobre los recursos econ_micos, medido por los ingresos percibidos estimados (PPA en US$) de hombres y mujeres."
Indice de Riesgo de Situaci_n Humanitaria,Todos,OCHA - Universidad Santo Tomas,2006-2008,Municipal,"El IRSH est_ en capacidad de proporcionar a los analistas en el _mbito humanitario, una herramienta de uso general que muestre un resultado a nivel municipal entendido como la probabilidad de que exista una situaci_n de crisis humanitaria enmarcado por las variables asociadas a los factores sociales, econ_micos, oferta institucional y el conflicto"
Indice de Riesgo de Situacion Humanitaria-Nueva Metodologia,Todos,OCHA - Universidad Santo Tomas,2008-2012,Municipal,"El IRSH est_ en capacidad de proporcionar a los analistas en el _mbito humanitario, una herramienta de uso general que muestre un resultado a nivel municipal entendido como la probabilidad de que exista una situaci_n de crisis humanitaria enmarcado por las variables asociadas a los factores sociales, econ_micos, oferta institucional y el conflicto"
_ndice de Riesgo de Victimizaci_n,Todos,,2010-2012,Municipal,"""El IRV es una herramienta estrat_gica para el an_lisis de los diferentes escenarios de victimizaci_n en el marco del conflicto armado en Colombia, estructurada para monitorear sus causas y efectos, as_ como para aportar en la definici_n de lineamientos de pol_tica tendientes a la prevenci_n, protecci_n y garant_as de no repetici_n de tales eventos.el IRV es un valor num_rico que oscila en el rango que va desde 0 hasta 1, obtenido de tal manera que una mayor relaci_n de las condiciones del municipio con hechos victimizantes hace que dicho valor sea cercano a 1. Por el contrario sin un municipio de Colombia cuenta en general con condiciones de baja relaci_n con valores hist_ricos de hechos victimizantes, el valor del IRV tender_ a niveles cercanos a 0. En este punto vale la pena resaltar que la lectura de los resultados del IRV, invita a m_s que a una interpretaci_n del _ndice en un valor puntual, a una lectura en contexto que compare sus variaciones en el tiempo y en el espacio (terreno), en el entendido de que no ser_a prudente tratar de interpretar diferencias de d_cimas o cent_simas de su valor en distintos municipios, dada la connotaci_n multidimensional con la cual fue construido el _ndice, la cual pueda evidenciar valores semejantes del _ndice para municipios con condiciones diferenciales. """
_ndice de Ruralidad,Todos,Informe Nacional de Desarrollo Humano,2005,Municipal,"Se consideran las variables:Densidad poblacional (personas/km2). 2.Distancia promedio a las ciudades ?grandes? (km). Corresponde a la distancia euclidiana promedio, en kil_metros, desde un municipio a las ciudades consideradas ?grandes?. El _ndice de ruralidad debe interpretarse como un ranking, que puede variar de posiciones conforme varia la distribuci_n poblacional de un a_o censal al siguiente."
_ndice de Visibilidad de la Contrataci_n,Todos,Olga,2011,Departamental,"Consiste en que los procesos de la contrataci_n p_blica est_n sujetos a los principios constitucionales y legales de publicidad (Art. 209, Constituci_n Pol_tica) y transparencia (Art. 24, Ley 80 de 1993).? (IGA 2011). Este indicador est_ compuesto por 3 variables: Publicaci_n de contratos en el SECOP (Ponderaci_n 10%); Actualizaci_n de procesos contractuales publicados en el SECOP (Ponderaci_n 5%); Reporte de plan de compras (Ponderaci_n 5%)"
Indice de Vulnerabilidad,Todos,OCHA - Universidad Santo Tomas,2008-2012,Municipal,"Este es un sub_ndice del _ndice de Riego de Situaci_n Humanitaria. La vulnerabilidad t_cnica hace referencia a la capacidad de respuesta de la comunidad ante un evento adverso, analizando la presencia de organismos de socorro en la zona, ubicaci_n de la comunidad, condiciones f_sico-materiales de las infraestructuras de la comunidad y presencia institucional. La vulnerabilidad socioecon_mica, hace referencia a las capacidades sociales y econ_micas de la poblaci_n que garantizan la adaptaci_n de la comunidad ante la ocurrencia de un evento adverso, facilit_ndole a la poblaci_n afrontar y recuperarse en el menor tiempo posible del mismo."
_ndice de Vulnerabilidad (IV) del INDH,Todos,Informe Nacional de Desarrollo Humano,2005,Municipal,"Se construye teniendo en cuenta seis dimensiones de vulnerabilidad: 1.Vulnerabilidad por capital humano: tasa de alfabetizaci_n, personas en edad de trabajar por hogar. 2. Vulnerabilidad por capacidad institucional: capacidad administrativa, desempe_o fiscal. 3. Vulnerabilidad por presencia de conflicto: homicidios totales,masacres,cantidad de desplazados, v_ctimas de violencia pol_tica, _rea cultivos de coca. 4.Vulnerabilidad por rasgos demogr_ficos: promedio de miembros en el hogar, porcentaje de hogares con jefatura femenina, n_mero promedio de adultos mayores(>64 a_os) por hogar, n_mero promedio de ni_os("
Indice tem_tico Capacidades - Indice de Riesgo de Situaci_n Humanitaria,Todos,OCHA - Universidad Santo Tomas,2006-2008,Municipal,Indica la probabilidad de que se presente una situaci_n humanitaria ocasionada por ausencia de oferta institucional
Indice tem_tico Conflicto - Indice de Riesgo de Situaci_n Humanitaria,Todos,OCHA - Universidad Santo Tomas,2006-2008,Municipal,Indica la probabilidad de que se presente una situaci_n humanitaria ocasionada por eventos de conflicto armado
Indice tem_tico Econ_mico - Indice de Riesgo de Situaci_n Humanitaria,Todos,OCHA - Universidad Santo Tomas,2006-2008,Municipal,Indica la probabilidad de que se presente una situaci_n humanitaria ocasionada por factores econ_micos
Indice tem_tico Social - Indice de Riesgo de Situaci_n Humanitaria,Todos,OCHA - Universidad Santo Tomas,2006-2008,Municipal,Indica la probabilidad de que se presente una situaci_n humanitaria ocasionada por factores sociales.
Personas Bajo L_nea de Indigencia,Todos,DANE,2002-2005,Departamental,Porcentaje de personas cuyos ingresos no permiten cubrir el costo de una canasta m_nima de alimentos para subsistir.
Personas Bajo L_nea de Pobreza,Todos,DANE,2002-2005,Departamental,Porcentaje de personas cuyos ingresos no permiten cubrir el costo de una canasta b_sica de consumo
Poblaci_n con NBI - Cabecera,Todos,DANE,2005-2012,Municipal,Ver Poblaci_n con NBI
Poblaci_n con NBI - Resto,Todos,DANE,2005-2012,Municipal,Ver Poblaci_n con NBI
Poblaci_n con NBI - Total,Todos,DANE,2005-2012,Municipal,"Poblaci_n con Necesidades B_sicas Insatisfechas. La metodolog_a del NBI busca determinar, con ayuda de algunos indicadores simples, si las necesidades b_sicas de la poblaci_n se encuentran cubiertas. Los grupos que no alcancen un umbral m_nimo fijado, son clasificados como pobres. Los indicadores simples seleccionados, son: Viviendas inadecuadas, Viviendas con hacinamiento cr_tico, Viviendas con servicios inadecuados, Viviendas con alta dependencia econ_mica, Viviendas con ni_os en edad escolar que no asisten a la escuela."
,,,,,
NO DETERMINADA,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
_rea de Resguardos Ind_genas,No Determinado,Instituto Geogr_fico Agust_n Codazzi,2011,Municipal,_rea de Resguardos Ind_genas
_rea de territorio Comunidades Negras,No Determinado,Instituto Geogr_fico Agust_n Codazzi,2011,Municipal,_rea de territorio Comunidades Negras
_rea de T_tulos mineros vigentes,Medio ambiente,Ingeominas,2009,Municipal,_rea de los t_tulos mineros vigentes en el municipio
_rea en kil_metros,No Determinado,Instituto Geogr_fico Agust_n Codazzi,2008,Municipal,_rea en kil_metros cuadrados del ente territorial
N_mero de v_ctimas atendidas en orientaci_n jur_dica psicosocial,No Determinado,Olga,2011,Departamental,"Conteo de v_ctimas que son atendidas u orientadas por una instituci_n del estado competente, entendientdo como v_ctima las establecidas en el marco de la ley de Justcia y paz"
Porcentaje de Ecosistemas Naturales,No Determinado,Olga,2003,Departamental,"Se consideran ecosistemas naturales de colombia, aquellos en los que la cobertura de la tierra pueden ser afloramiento rocoso, agua continental natural, arbustal, bosque natural, glaciares y nieves, herbazales, hidr_fita continental, lagunas costeras, manglares o zonas desnudas. (_rea del departamento en ecosistema natural/_rea total del depto)*100.%. (_rea del departamento en ecosistema natural/_rea total del depto)*100"
Porcentaje de Ecosistemas Transformados,No Determinado,Olga,2003,Departamental,"Los ecosistemas transformados continentales y costeros de colombia, son aquellos donde la cobertura de la tierra corresponde a aguas continentales artificiales, _reas agr_colas heterog_neas, _reas mayormente alteradas, _reas urbanas, bosques plantados, cultivos anuales o transitorios, cultivos semipermanentes y permanentes, pastos o vegetaci_n secundaria.%. (_rea del departamento en ecosistema transformado/_rea total del depto)*100"
Programas de Desarrollo y Paz,No Determinado,,2005-2009,Municipal,"N_mero de programas enfocados familias pobres, vulnerables y desplazados, de las regiones seleccionadas, que est_n en riesgo de desplazamiento en un futuro cercano o han sido desplazados y, encontr_ndose registrados en el Sistema _nico de Registro -SUR- est_n en proceso de reubicaci_n o retorno en las regiones focalizadas."
Protecci_n de tierras y bienes patrimoniales,No Determinado,,2008-2011,Municipal,"Personas a quienes se ha dado protecci_n jur_dica de los derechos de las v_ctimas, sobre sus tierras y territorios abandonados, en riesgo de serlo o despojados, para que no sean apropiados ilegalmente por los causantes del desplazamiento o del despojo, o por un tercero."
Tasa de Deforestaci_n (promedio anual),Medio ambiente,Olga,2010,Departamental,Im_genes de sensores remotos para el periodo 1990-2000-2005.Se usaron im_genes LANDSAT (sensores TM y ETM+) con resoluci_n espacial de 30m como el insumo fundamental de teledetecci_n. Metodolog_a semi-automatizada con ajustes a criterio de int_rprete para la generaci_n de los mapas de cobertura Bosque/No Bosque y la identificaci_n del cambio de la cobertura de Bosque a otras coberturas de la Tierra. _reas de deforestaci_n: Conversi_n directa y/o inducida de la cobertura bosque a otro tipo de cobertura de la Tierra en un periodo de tiempo determinado.Para el periodo 2000-2005 se aplicando una relaci_n lineal de p_rdida para los 5 a_os de an_lisis se obtiene una tasa promedio anual de p_rdida de la cobertura boscosa.
T_tulos mineros vigentes,Medio ambiente,Ingeominas,2009,Municipal,N_mero de titulos mineros vigentes
,,,,,
PIB/ADMINISTRACI_N P_BLICA,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
,,,,,
PIB/AGROPECUARIO,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Animales vivos y Productos animales,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la actividad productiva agropecuaria derivada de los animales vivos y productos animales en una regi_n.
Caf_,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la actividad productiva agropecuaria derivada del caf_ en una regi_n.
Otros productos Agricolas,Recuperaci_n temprana,DANE,2005,Departamental,"Unidades moentarias provenientes de la actividad productiva agropecuaria derivada de otros productos agr_colas excepto caf_, animales vivos y productos animales en una regi_n."
,,,,,
PIB/COMERCIO,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Comercio,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la actividad comercial en una regi_n.
,,,,,
PIB/CONSTRUCCI_N,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
"Trabajos de Construcci_n, Construcciones Edificaciones",Recuperaci_n temprana,DANE,2005,Municipal,"Unidades monetarias provenientes de la rama de actividad econ_mica de la construcci_n derivadas de los trabajos de construcci_n (edificaciones, construcciones) en una regi_n."
Trabajos y Obras de ingenier_a Civil,Recuperaci_n temprana,DANE,2005,Municipal,Unidades monetarias provenientes de la rama de actividad econ_mica de la construcci_n derivadas de los trabajos y obras de ingenier_a civil en una regi_n.
,,,,,
PIB/CORREOS Y TELECOMUNICACIONES,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Correos y Telecomunicaciones,Recuperaci_n temprana,DANE,2005,Municipal,Unidades monetarias provenientes de los correos y telecomunicaciones en una regi_n.
,,,,,
PIB/DERECHOS E IMPUESTOS,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Derechos e Impuestos,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias que se derivan de los derechos e impuestos en una regi_n.
,,,,,
PIB/EDUCACI_N,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Ense_anza de Mercado,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la rama de actividad econ_mica de Educaci_n derivada de la ense_anza de no mercado (P_blica) en una regi_n.
Ense_anza de no Mercado,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la rama de actividad econ_mica de Educaci_n derivada de la ense_anza de mercado (Privada) en una regi_n.
,,,,,
"PIB/ELECTRICIDAD, GAS Y AGUA",,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Agua Alcantarillado Servicios de Saneamiento,Recuperaci_n temprana,DANE,2005,Departamental,"Unidades monetarias provenientes de los servicios de agua, alcantarillado y servicios de saneamiento en una regi_n."
Electricidad y Gas de Ciudad,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de los servicios de electricidad y gas en una regi_n.
,,,,,
PIB/INDUSTRIA,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
"Alimentos, Bebidas y Tabaco",Recuperaci_n temprana,DANE,2005,Departamental,"Unidades monetarias provenientes de la rama de actividad econ_mica industrial derivadas de los alimentos, bebidas y tabaco en una regi_n."
Resto de La Industria,Recuperaci_n temprana,DANE,2005,Departamental,"Unidades monetarias provenientes de la rama de actividad econ_mica industrial derivadas del resto de la industria excepto alimentos, bebidas y tabaco en una regi_n."
,,,,,
PIB/INMOBILITARIAS Y ALQUILERES,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Inmobiliarios y Alquiler de Vivienda,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de los servicios inmobiliarios de alquiler y vivienda en una regi_n.
,,,,,
PIB/MINER_A,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Carb_n,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la actividad de la miner_a derivadas del carb_n en una regi_n.
Minerales Metalicos,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la actividad de la miner_a derivadas de los minerales met_licos en una regi_n.
Otros Minerales no Metalicos,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la actividad de la miner_a derivadas de los minerales no met_licos en una regi_n.
Petroleo,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la actividad de la miner_a derivadas del petr_leo en una regi_n.
,,,,,
PIB/OTROS SERVICIOS,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Empresas Excepto Servicios Financieros e Inmobiliarios,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de las empresas excepto servicios financieros e inmobiliarios en una regi_n.
,,,,,
PIB/SALUD,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Sociales y de Salud de Mercado,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la rama de actividad econ_mica de Salud derivada de sociales y servicios de mercado (Privada) en una regi_n.
Sociales y de Salud de no Mercado,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la rama de actividad econ_mica de Salud derivada de sociales y servicios de no mercado (P_blica) en una regi_n.
,,,,,
PIB/SERVICIOS,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Servicios Domesticos,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de los servicios dom_sticos en una regi_n.
"Servicios Reparaci_n Automotores, Motocicleta y Articulos Personales",Recuperaci_n temprana,DANE,2005,Departamental,"Unidades monetarias provenientes de los servicios de reparaci_n de automotores, motocicleta y articulos personales en una regi_n."
,,,,,
PIB/SERVICIOS CULTURALES Y RECREATIVOS,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Asociaciones Esparcimiento y otros Servicios de Mercado,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de las asociaciones de esparcimiento y otros servicios de mercado en una regi_n.
Asociaciones Esparcimiento y otros Servicios de no Mercado,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de las asociaciones de esparcimiento y otros servicios de no mercado en una regi_n.
,,,,,
PIB/SERVICIOS FINANCIEROS,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Servicios Financieros,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de los servicios financieros en una regi_n.
,,,,,
PIB/SILVICULTURA Y PESCA,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Pescado y Otros Productos de la Pesca,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la rama de actividad econ_mica de silvicultura derivadas del pescado y otros productos de la pesca en una regi_n.
Productos de la silvicultura y Extracci_n de madera,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la rama de actividad econ_mica de silvicultura derivadas de los productos de la silvicultura y la extracci_n de madera excepto pescado y otros productos de la pesca en una regi_n.
,,,,,
PIB/TRANSPORTE,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Transporte Aereo,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes del transporte a_reo en una regi_n.
Transporte Complementarios y Auxiliares,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes del transporte complementario y auxiliares en una regi_n.
Transporte por Agua,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes del transporte por agua en una regi_n.
Transporte Terrestre,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes del transporte terrestre en una regi_n.
,,,,,
PIB/TURISMO,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Hoteler_a y Restaurante,Recuperaci_n temprana,DANE,2005,Departamental,Unidades monetarias provenientes de la hoteler_a y restaurante en una regi_n.
,,,,,
SALUD,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Afiliados R_gimen Contributivo BDUA,Salud,Ministerio de la Protecci_n Social,2008-2012,Municipal,N_mero de personas afiliadas al r_gimen contributivo en la Base _nica de Afiliados
Afiliados R_gimen Subsidiado BDUA,Salud,Ministerio de la Protecci_n Social,2008-2012,Municipal,N_mero de afiliados al R_gimen Subsidiado
Cobertura R_gimen Contributivo del Sistema General de Seguridad Social en Salud,Salud,SISBEN,2006,Municipal,"Porcentaje de personas afiliadas al R_gimen Contributivo. El r_gimen contributivo es el sistema de salud mediante el cual todas las personas vinculadas a trav_s de contrato de trabajo, los servidores p_blicos, los pensionados y jubilados y los trabajadores independientes con capacidad de pago, aportan mensualmente al sistema de salud pagando directamente lo correspondiente legalmente a las Entidades Promotoras de Salud - EPS autorizadas para recibir y administrar esos dineros y para que a su vez contraten los servicios de salud con las Instituciones Prestadoras de Servicios - IPS o los presten directamente a todas y cada una de las personas afiliadas y sus beneficiarios. (Min. Protecci_n social)"
Cobertura R_gimen Subsidiado del Sistema General de Seguridad Social en Salud,Salud,SISBEN,2006,Municipal,"Porcentaje de personas afiliadas al R_gimen Subsidiado. El r_gimen subsidiado es el sistema de salud mediante el cual las personas con bajos ingresos y poca capacidad de pago, ingresan al sistema de salud gratis o aportan mensualmente solo una parte al sistema de salud. (Min. Protecci_n social)"
Cobertura Vacunaci_n BCG,Salud,Ministerio de la Protecci_n Social / DANE proyecciones,1998-2009,Municipal,Porcentaje de ni_os reci_n nacidos a los cuales se les ha aplicado la Vacuna BCG (Antituberculosa).
Cobertura vacunaci_n DPT,Salud,Ministerio de la Protecci_n Social,1998-2009,Municipal,"Porcentaje de ni_os que tomaron la vacuna DPT que sirve para evitar a la mayor_a de los ni_os enfermar de tosferina aunque est_n expuestos a la enfermedad, y por lo general protege al ni_o durante todos sus a_os de primaria. Los ni_os vacunados pudieran raras veces contraer la enfermedad, pero _sta ser_a por lo general leve, protege contra la Difteria por lo menos durante 10 a_os y protege contra el t_tano por lo menos durante 10 a_os"
Cobertura Vacunaci_n Hepatitis B,Salud,Ministerio de la Protecci_n Social / DANE proyecciones,1998-2009,Municipal,Porcentaje de recien nacidos a los cuales se les aplic_ la vacuna contra Hepatitis B.
Cobertura Vacunaci_n HIB,Salud,Ministerio de la Protecci_n Social / DANE proyecciones,1998-2009,Municipal,Porcentaje de la poblaci_n menor de un a_o que ha recibido la vacuna HIB (Vacuna contra Haemophilus influenzae tipo B)
Cobertura Vacunaci_n Triple Viral,Salud,Ministerio de la Protecci_n Social,1999-2009,Municipal,"Porcentaje de ni_os de 1 a_o que tomaron la vacuna Triple Viral. Esta vacuna contiene 3 tipos de virus vivos atenuados, conformando as_ una vacuna antisarampionosa, antiparot_dea y antirrube_lica en forma simult_nea."
Cobertura Vacunaci_n VOP,Salud,Ministerio de la Protecci_n Social / DANE proyecciones,1998-2009,Municipal,Porcentaje de la poblaci_n menor de un a_o que ha recibido la vacuna VOP (Vacuna Antipoliomel_tica Oral)
Defunciones,Salud,DANE,2005-2007,Municipal,"Es la desaparici_n permanente de todo signo de vida, cualquiera que sea el tiempo transcurrido desde el nacimiento con vida"
Defunciones -Hombres-,Salud,DANE,2005-2007,Municipal,"Es la desaparici_n permanente de todo signo de vida en los hombres, cualquiera que sea el tiempo transcurrido desde el nacimiento con vida. (OMS)"
Defunciones -Mujeres-,Salud,DANE,2005-2007,Municipal,"Es la desaparici_n permanente de todo signo de vida en las mujeres, cualquiera que sea el tiempo transcurrido desde el nacimiento con vida. (OMS)"
N_mero de vacunas BCG,Salud,Ministerio de la Protecci_n Social,1998-2009,Municipal,N_mero de vacunas BCG (Antituberculosa) aplicada a reci_n nacidos.
N_mero de vacunas DPT,Salud,Ministerio de la Protecci_n Social / DANE proyecciones,1998-2009,Municipal,"N_mero de vacunas DPT aplicadas a la poblaci_n menor a 1 a_o, que sirve para evitar a la mayor_a de los ni_os enfermar de tosferina aunque est_n expuestos a la enfermedad, y por lo general protege al ni_o durante todos sus a_os de primaria. Los ni_os vacunados pudieran raras veces contraer la enfermedad, pero _sta ser_a por lo general leve, protege contra la Difteria por lo menos durante 10 a_os y protege contra el t_tano por lo menos durante 10 a_os"
N_mero de Vacunas Hepatitis B,Salud,Ministerio de la Protecci_n Social,1998-2009,Municipal,N_mero de Vacunas contra Hepatitis B aplicadas a la poblaci_n menor de un a_o.
N_mero de Vacunas HIB,Salud,Ministerio de la Protecci_n Social,1998-2007,Municipal,N_mero de vacunas HIB (Vacuna contra Haemophilus influenzae tipo B) aplicadas a la poblaci_n menor de un a_o.
N_mero de vacunas triple viral,Salud,Ministerio de la Protecci_n Social / DANE proyecciones,1998-2007,Municipal,"N_mero de vacunas Triple Viral aplicadas a la poblaci_n menor a 1 a_o. Esta vacuna contiene 3 tipos de virus vivos atenuados, conformando as_ una vacuna antisarampionosa, antiparot_dea y antirrube_lica en forma simult_nea."
N_mero de vacunas VOP,Salud,Ministerio de la Protecci_n Social,1998-2007,Municipal,N_mero de vacunas VOP (Vacuna Antipoliomel_tica Oral) aplicadas a la poblaci_n menor de 1 a_o.
Poblaci_n de SISBEN sin Afiliaci_n Salud,Salud,SISBEN,2005-2012,Municipal,Porcentaje de la poblaci_n registrada en el SISBEN que no se encuentra afiliada a Salud.
Poblaci_n Sisben 1 y 2,Salud,Ministerio de la Protecci_n Social,2006,Municipal,N_mero de personas registradas en el Nivel I y II de SISBEN
Poblaci_n Sisben 1 y 2 Afiliada a R_gimen Contributivo,Salud,Ministerio de la Protecci_n Social,2006,Municipal,"El r_gimen contributivo es el sistema de salud mediante el cual todas las personas vinculadas a trav_s de contrato de trabajo, los servidores p_blicos, los pensionados y jubilados y los trabajadores independientes con capacidad de pago, aportan mensualmente al sistema de salud pagando directamente lo correspondiente legalmente a las Entidades Promotoras de Salud - EPS autorizadas para recibir y administrar esos dineros y para que a su vez contraten los servicios de salud con las Instituciones Prestadoras de Servicios - IPS o los presten directamente a todas y cada una de las personas afiliadas y sus beneficiarios."
Poblaci_n Sisben 3,Salud,Ministerio de la Protecci_n Social,2006,Municipal,N_mero de personas registradas en el Nivel III de SISBEN
Poblaci_n Sisben 3 Afiliada a R_gimen Contributivo,Salud,Ministerio de la Protecci_n Social,2006,Municipal,Porcentaje de personas registradas en el Nivel III de SISBEN afiliadas al r_gimen contributivo.
Porcentaje de Cobertura a Subsidios Plenos,Salud,Ministerio de la Protecci_n Social,2007,Municipal,Porcentaje de cobertura de los Subsidios plenos del R_gimen Subsidiado.
Porcentaje D_ficit de Cobertura a Subsidios Parciales,Salud,Ministerio de la Protecci_n Social,2006,Municipal,Porcentaje de d_ficit en la cobertura de los Subsidios parciales del R_gimen Subsidiado.
Porcentaje D_ficit de Cobertura a Subsidios Plenos,Salud,Ministerio de la Protecci_n Social,2006,Municipal,Porcentaje de d_ficit en la cobertura de los Subsidios parciales del R_gimen Subsidiado.
Raz_n mortalidad materna,Salud,DANE,2005-2007,Departamental,Se entiende como la raz_n de mortalidad materna en Colombia por 100.000 nacidos vivos
Tasa de mortalidad Infantil de < 5 a_os x 1000,Salud,,2005-2010,Departamental,N_mero de ni_os menores de 5 a_os que fallece por cada 1.000 nacidos vivos durante un a_o determinado
Tasa de mortalidad infantil x 1000,Salud,DANE,2005-2010,Municipal,Cociente entre el n_mero de defunciones de ni_os menores de un a_o ocurridas en un determinado per_odo y los nacidos vivos en ese mismo momento.
,,,,,
SALUD P_BLICA,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Accidente Ofidico,Salud,Ministerio de la Protecci_n Social,2000-2012,Municipal,"Se define como la lesi_n que resulta de la mordedura de una serpiente, sea que deje o no consecuencias para la salud"
Chagas,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"es una infecci_n ocasionada por el protozoo Trypanosoma cruzi . Se transmite por medio de un insecto hemat_fago denominado vulgarmente vinchuca, el cual transmite el par_sito luego de defecar arriba de la picadura en la que previamente el insecto se aliment_. Se estima que son infectadas por la enfermedad de Chagas entre 15 y 17 millones de personas cada a_o, de las cuales mueren unas 50.000."
C_lera,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"El c_lera es una infecci_n intestinal aguda, grave, que se caracteriza por la aparici_n de evacuaciones diarreicas abundantes, con v_mito y deshidrataci_n que puede llevar al paciente a acidosis y colapso circulatorio en el t_rmino de 24 horas y en los casos no tratados puede ocasionar la muerte. El c_lera es causado por un agente infeccioso; se trata de un bacilo aerobio, Gram negativo, con un s_lo flagelo polar que le da gran movilidad llamado Vibrio cholerae. El vibri_n del c_lera sobrevive por periodos hasta de 7 d_as fuera del organismo, especialmente en ambientes h_medos y templados; en el agua sobrevive unas cuantas horas y algunas semanas si _sta se encuentra contaminada con material org_nico."
